customerID,gender,PhoneService,InternetService,StreamingTV,Contract,TotalCharges,Churn
8091-TTVAX,Male,Yes,Fiber optic,Yes,One year,5681.1,No
8769-KKTPH,Female,Yes,Fiber optic,Yes,One year,6311.2,No
5067-XJQFU,Male,Yes,Fiber optic,Yes,One year,7076.35,No
2673-CXQEU,Female,Yes,Fiber optic,Yes,One year,6139.5,No
4808-YNLEU,Female,Yes,DSL,Yes,One year,2215.45,No
7123-WQUHX,Male,Yes,Fiber optic,Yes,One year,3605.6,No
6728-DKUCO,Female,Yes,Fiber optic,Yes,One year,7303.05,No
8597-CWYHH,Male,Yes,Fiber optic,Yes,One year,3921.3,No
1091-SOZGA,Female,Yes,Fiber optic,Yes,One year,5515.45,No
6440-DKQGE,Male,Yes,DSL,Yes,One year,1929.95,No
1679-JRFBR,Female,Yes,Fiber optic,Yes,One year,7930.55,No
0691-JVSYA,Female,Yes,Fiber optic,Yes,One year,5000.2,Yes
5524-KHNJP,Male,Yes,DSL,Yes,One year,2453.3,No
9323-HGFWY,Female,Yes,Fiber optic,Yes,One year,2681.15,No
1347-KTTTA,Male,Yes,Fiber optic,Yes,One year,6654.1,No
6341-JVQGF,Female,Yes,DSL,Yes,One year,2545.75,No
7576-ASEJU,Female,Yes,DSL,Yes,One year,3187.65,No
4075-JFPGR,Female,Yes,Fiber optic,Yes,One year,4619.55,No
3282-ZISZV,Male,Yes,DSL,Yes,One year,2633.3,No
6655-LHBYW,Male,Yes,Fiber optic,Yes,One year,5791.1,No
1950-KSVVJ,Female,Yes,Fiber optic,Yes,One year,5032.25,No
0895-LMRSF,Male,Yes,DSL,Yes,One year,1509.8,No
4091-TVOCN,Male,Yes,DSL,Yes,One year,3682.45,No
5027-YOCXN,Male,Yes,Fiber optic,Yes,One year,5686.4,No
2321-OMBXY,Female,Yes,DSL,Yes,One year,3058.65,Yes
5020-ZSTTY,Female,Yes,DSL,Yes,One year,4350.1,Yes
2379-GYFLQ,Male,Yes,Fiber optic,Yes,One year,4422.95,No
9833-TGFHX,Male,Yes,Fiber optic,Yes,One year,4016.75,No
9571-EDEBV,Male,Yes,Fiber optic,Yes,One year,6962.85,No
7156-MXBJE,Female,Yes,DSL,Yes,One year,3662.25,No
4742-DRORA,Male,Yes,Fiber optic,Yes,One year,5812,No
2806-MLNTI,Male,Yes,Fiber optic,Yes,One year,5376.4,No
0206-TBWLC,Female,Yes,Fiber optic,Yes,One year,6049.5,No
5149-CUZUJ,Male,Yes,Fiber optic,Yes,One year,2768.35,No
