dt,humidity,pressure,temp_min,feels_like
1772247600,62,1019,279.0,280.27
1772258400,71,1020,275.05,275.92
1772269200,88,1019,274.79,273.16
1772280000,92,1020,276.97,275.74
1772290800,69,1020,282.24,281.02
1772301600,49,1018,288.21,287.05
1772312400,42,1017,289.52,288.31
1772323200,57,1018,285.7,284.5
1772334000,78,1018,282.83,282.39
1772344800,84,1018,281.26,280.5
1772355600,92,1016,280.29,279.25
1772366400,90,1015,280.29,278.6
1772377200,74,1018,283.06,281.4
1772388000,51,1019,285.97,284.64
1772398800,46,1023,282.94,279.97
1772409600,50,1027,278.51,274.98
1772420400,49,1031,275.45,271.29
1772431200,51,1034,272.66,267.99
1772442000,50,1036,271.54,267.56
1772452800,49,1038,270.99,266.63
1772463600,31,1038,271.94,267.92
1772474400,21,1038,274.57,272.66
1772485200,18,1038,275.29,274.08
1772496000,24,1039,273.29,270.19
1772506800,27,1039,272.44,269.88
1772517600,36,1039,272.58,269.55
1772528400,54,1037,273.3,269.68
1772539200,87,1037,272.21,268.02
1772550000,95,1036,273.05,269.65
1772560800,98,1033,273.65,270.76
1772571600,99,1030,274.36,271.36
1772582400,99,1029,275.43,272.1
1772593200,98,1027,276.56,273.32
1772604000,96,1025,279.25,275.74
1772614800,95,1023,280.51,277.48
1772625600,97,1023,280.4,278.06
1772636400,92,1024,282.32,280.76
1772647200,69,1023,288.6,288.0
1772658000,69,1024,289.63,289.14
1772668800,90,1024,286.24,285.95
