city_name,dt,humidity,pressure,temp_min,feels_like
New York,1772744400,95,1024,278.92,275.92
New York,1772755200,96,1025,276.19,273.32
New York,1772766000,96,1025,276.36,272.21
New York,1772776800,93,1025,280.9,278.09
New York,1772787600,89,1024,275.78,271.57
New York,1772798400,89,1026,275.62,271.7
New York,1772809200,84,1029,275.83,272.08
New York,1772820000,80,1029,276.27,272.74
New York,1772830800,83,1029,276.32,272.7
New York,1772841600,88,1031,275.66,272.06
New York,1772852400,91,1030,275.46,272.83
New York,1772863200,93,1029,275.48,274.16
New York,1772874000,94,1028,275.6,275.6
New York,1772884800,95,1027,275.87,274.58
New York,1772895600,95,1025,276.92,274.7
New York,1772906400,94,1022,278.31,276.12
New York,1772917200,97,1019,279.11,277.58
New York,1772928000,99,1017,279.56,277.99
New York,1772938800,100,1015,280.01,278.38
New York,1772949600,100,1014,281.49,279.58
New York,1772960400,100,1013,282.62,280.7
New York,1772971200,99,1014,283.28,282.93
New York,1772982000,96,1014,284.49,284.19
New York,1772992800,93,1014,285.72,285.46
New York,1773003600,97,1015,283.66,283.3
New York,1773014400,97,1016,283.01,281.63
New York,1773025200,91,1017,282.6,281.31
New York,1773036000,92,1017,281.52,280.55
New York,1773046800,90,1018,280.69,279.66
New York,1773057600,87,1019,280.15,279.35
New York,1773068400,64,1019,283.48,282.24
New York,1773079200,60,1017,287.64,286.71
New York,1773090000,71,1016,287.61,286.97
New York,1773100800,87,1016,285.31,284.85
New York,1773111600,98,1016,284.92,284.71
New York,1773122400,99,1017,283.73,283.43
New York,1773133200,96,1018,283.02,281.5
New York,1773144000,92,1019,283.04,282.28
New York,1773154800,72,1021,286.73,286.02
New York,1773165600,62,1020,289.59,288.91
San Francisco,1772744400,47,1022,288.74,287.76
San Francisco,1772755200,53,1020,289.25,288.3
San Francisco,1772766000,74,1020,286.36,285.67
San Francisco,1772776800,75,1020,285.41,284.65
San Francisco,1772787600,69,1020,284.8,283.82
San Francisco,1772798400,56,1019,284.59,283.25
San Francisco,1772809200,51,1020,284.13,282.62
San Francisco,1772820000,40,1021,286.71,285.17
San Francisco,1772830800,39,1019,289.65,288.37
San Francisco,1772841600,48,1018,289.82,288.8
San Francisco,1772852400,71,1018,287.58,286.93
San Francisco,1772863200,69,1019,287.0,286.24
San Francisco,1772874000,68,1018,286.11,285.24
San Francisco,1772884800,67,1018,285.37,284.4
San Francisco,1772895600,65,1020,285.03,283.97
San Francisco,1772906400,54,1021,288.14,287.1
San Francisco,1772917200,46,1020,291.51,290.6
San Francisco,1772928000,50,1019,291.93,291.17
San Francisco,1772938800,72,1020,288.16,287.6
San Francisco,1772949600,73,1020,287.66,287.07
San Francisco,1772960400,75,1019,286.92,286.31
San Francisco,1772971200,76,1018,286.51,285.89
San Francisco,1772982000,74,1018,286.4,285.71
San Francisco,1772992800,63,1018,289.41,288.74
San Francisco,1773003600,54,1016,291.77,291.1
San Francisco,1773014400,60,1015,291.54,291.0
San Francisco,1773025200,78,1015,287.79,287.35
San Francisco,1773036000,84,1015,286.76,286.37
San Francisco,1773046800,86,1014,286.29,285.91
San Francisco,1773057600,86,1014,286.08,285.67
San Francisco,1773068400,84,1014,286.01,285.54
San Francisco,1773079200,71,1015,288.65,288.11
San Francisco,1773090000,72,1014,289.28,288.83
San Francisco,1773100800,73,1013,289.41,289.0
