type,duration,gross,country,budget,year
Residential,178,760505847.0,USA,237000000.0,2009
Residential,169,309404152.0,USA,300000000.0,2007
Residential,148,200074175.0,UK,245000000.0,2015
Residential,164,448130642.0,USA,250000000.0,2012
Residential,132,73058679.0,USA,263700000.0,2012
Residential,156,336530303.0,USA,258000000.0,2007
Residential,100,200807262.0,USA,260000000.0,2010
Residential,141,458991599.0,USA,250000000.0,2015
Residential,153,301956980.0,UK,250000000.0,2009
Residential,183,330249062.0,USA,250000000.0,2016
Residential,169,200069408.0,USA,209000000.0,2006
Residential,106,168368427.0,UK,200000000.0,2008
Residential,151,423032628.0,USA,225000000.0,2006
Residential,150,89289910.0,USA,215000000.0,2013
Residential,143,291021565.0,USA,225000000.0,2013
Residential,150,141614023.0,USA,225000000.0,2008
Residential,173,623279547.0,USA,220000000.0,2012
Residential,900,241063875.0,USA,250000000.0,2011
Residential,106,179020854.0,USA,225000000.0,2012
Residential,164,255108370.0,New Zealand,250000000.0,2014
Residential,153,262030663.0,USA,230000000.0,2012
Residential,156,105219735.0,USA,200000000.0,2010
Residential,186,258355354.0,USA,225000000.0,2013
Residential,113,70083519.0,USA,180000000.0,2007
Residential,201,218051260.0,New Zealand,207000000.0,2005
Residential,194,658672302.0,USA,200000000.0,1997
Residential,147,407197282.0,USA,250000000.0,2016
Residential,131,65173160.0,USA,209000000.0,2012
Residential,124,652177271.0,USA,150000000.0,2015
Residential,143,304360277.0,UK,200000000.0,2012
Residential,135,373377893.0,USA,200000000.0,2004
Residential,195,408992272.0,USA,200000000.0,2013
Residential,108,334185206.0,USA,200000000.0,2010
Residential,3000,234360014.0,Canada,210000000.0,2006
Residential,104,268488329.0,USA,200000000.0,2013
Residential,150,402076689.0,USA,200000000.0,2009
Residential,165,245428137.0,USA,210000000.0,2014
Residential,130,234903076.0,USA,215000000.0,2013
Residential,142,202853933.0,USA,200000000.0,2014
Residential,125,172051787.0,USA,170000000.0,2010
Residential,106,191450875.0,USA,200000000.0,2011
Residential,123,116593191.0,USA,200000000.0,2011
Residential,103,414984497.0,USA,200000000.0,2010
Residential,118,125320003.0,USA,200000000.0,2009
Residential,140,350034110.0,USA,190000000.0,2015
Residential,123,202351611.0,USA,190000000.0,2013
Residential,149,233914986.0,USA,200000000.0,2014
Residential,132,228756232.0,USA,190000000.0,2013
Residential,114,65171860.0,USA,195000000.0,2013
Residential,143,144812796.0,Australia,105000000.0,2013
Residential,116,90755643.0,USA,200000000.0,2010
Residential,131,101785482.0,USA,190000000.0,2013
Residential,154,352358779.0,USA,195000000.0,2011
Residential,122,317011114.0,USA,185000000.0,2008
Residential,93,237282182.0,USA,185000000.0,2012
Residential,122,130468626.0,USA,185000000.0,2016
Residential,98,223806889.0,USA,180000000.0,2008
Residential,91,140080850.0,USA,140000000.0,2007
Residential,158,166112167.0,USA,200000000.0,2009
Residential,96,137850096.0,USA,200000000.0,2009
Residential,127,47375327.0,USA,176000000.0,2015
Residential,110,124051759.0,USA,180000000.0,2016
Residential,150,291709845.0,USA,180000000.0,2005
Residential,144,154985087.0,USA,178000000.0,2016
Residential,152,533316061.0,USA,185000000.0,2008
Residential,96,292979556.0,USA,175000000.0,2009
Residential,94,198332128.0,USA,175000000.0,2009
Residential,126,318298180.0,USA,140000000.0,2008
Residential,126,73820094.0,USA,170000000.0,2011
Residential,106,113745408.0,USA,170000000.0,1999
Residential,112,102176165.0,USA,145000000.0,2008
Residential,123,161087183.0,USA,175000000.0,2016
Residential,96,100289690.0,USA,175000000.0,2007
Residential,113,100189501.0,USA,178000000.0,2014
Residential,176,88246220.0,USA,175000000.0,1995
Residential,118,150167630.0,USA,175000000.0,2009
Residential,95,356454367.0,USA,175000000.0,2015
Residential,106,362645141.0,UK,175000000.0,2016
Residential,124,312057433.0,USA,200000000.0,2010
Residential,132,155111815.0,USA,170000000.0,2012
Residential,97,241407328.0,USA,180000000.0,2014
Residential,130,208543795.0,USA,170000000.0,2014
Residential,128,38297305.0,USA,175000000.0,2013
Residential,136,259746958.0,USA,170000000.0,2014
Residential,93,238371987.0,USA,165000000.0,2010
Residential,130,93417865.0,USA,190000000.0,2015
Residential,102,222487711.0,USA,165000000.0,2014
Residential,101,189412677.0,USA,165000000.0,2012
Residential,100,665426.0,USA,165000000.0,2004
Residential,120,102315545.0,USA,165000000.0,2016
Residential,98,217387997.0,USA,165000000.0,2010
Residential,109,150350192.0,USA,200000000.0,2003
Residential,121,333130696.0,USA,170000000.0,2014
Residential,169,187991439.0,USA,165000000.0,2014
Residential,148,292568851.0,USA,160000000.0,2010
Residential,182,303001229.0,USA,180000000.0,2012
Residential,106,144512310.0,USA,38000000.0,2001
Residential,166,127490802.0,USA,150000000.0,2008
Residential,132,146405371.0,USA,160000000.0,2011
Residential,137,281666058.0,USA,160000000.0,2015
Residential,109,63143812.0,USA,150000000.0,2010
Residential,98,60655503.0,USA,160000000.0,2006
Residential,113,76846624.0,USA,170000000.0,2016
Residential,93,320706665.0,USA,160000000.0,2007
Residential,123,46978995.0,USA,160000000.0,2016
Residential,126,89732035.0,USA,155000000.0,2015
Residential,113,104383624.0,USA,155000000.0,2010
Industrial,184,198539855.0,USA,140000000.0,2001
Residential,144,318759914.0,USA,150000000.0,2007
Residential,206,34293771.0,Germany,155000000.0,2004
Residential,138,292000866.0,UK,150000000.0,2007
Residential,157,289994397.0,UK,150000000.0,2005
Residential,102,227946274.0,USA,150000000.0,2008
Residential,104,256386216.0,USA,150000000.0,2007
Residential,115,206456431.0,USA,150000000.0,2005
Residential,111,206435493.0,USA,150000000.0,2007
Residential,128,205343774.0,USA,150000000.0,2005
Residential,89,179982968.0,USA,150000000.0,2008
Residential,105,177243721.0,USA,150000000.0,2009
Residential,119,179883016.0,USA,150000000.0,2009
Residential,129,139259759.0,Australia,150000000.0,2003
Residential,102,400736600.0,USA,150000000.0,2013
Residential,138,281492479.0,USA,150000000.0,2003
Residential,112,206360018.0,USA,170000000.0,2013
Residential,120,153629485.0,Australia,150000000.0,2015
Residential,146,133375846.0,USA,150000000.0,2009
Residential,115,181015141.0,USA,150000000.0,2011
Residential,96,114053579.0,USA,150000000.0,2008
Residential,88,119420252.0,USA,150000000.0,2009
Residential,99,83640426.0,USA,150000000.0,2012
Residential,113,79711678.0,USA,100000000.0,2012
Residential,131,195000874.0,China,150000000.0,2015
Residential,119,61937495.0,USA,150000000.0,2010
Residential,110,124051759.0,USA,180000000.0,2016
Residential,91,126597121.0,USA,150000000.0,2007
Residential,90,165230261.0,USA,150000000.0,2011
Residential,103,131564731.0,USA,150000000.0,2010
Residential,124,133382309.0,USA,150000000.0,2006
Residential,131,73103784.0,USA,150000000.0,2013
Residential,88,21379315.0,USA,150000000.0,2011
Residential,85,64459316.0,UK,149000000.0,2006
Residential,111,34964818.0,USA,150000000.0,2015
Residential,92,111505642.0,USA,145000000.0,2014
Residential,196,133228348.0,USA,175000000.0,2004
Residential,93,216366733.0,USA,145000000.0,2012
Industrial,133,160201106.0,UK,142000000.0,2002
Residential,116,118099659.0,USA,144000000.0,2016
Residential,153,201573391.0,USA,140000000.0,1998
Residential,88,190418803.0,USA,140000000.0,2002
Residential,115,82161969.0,USA,150000000.0,2007
Residential,95,143523463.0,USA,145000000.0,2016
Residential,133,209364921.0,USA,145000000.0,2011
Residential,97,103400692.0,USA,145000000.0,2012
Residential,90,110332737.0,USA,100000000.0,2005
Residential,154,111110575.0,USA,140000000.0,2003
Residential,150,65007045.0,UK,140000000.0,2014
Residential,127,257704099.0,USA,150000000.0,2009
Residential,121,403706375.0,USA,139000000.0,2002
Residential,102,176997107.0,USA,145000000.0,2014
Residential,126,31141074.0,USA,140000000.0,2016
Residential,121,31704416.0,USA,135000000.0,2005
Residential,215,107503316.0,USA,130000000.0,2009
Residential,127,129734803.0,USA,140000000.0,1998
Residential,138,132122995.0,USA,137000000.0,2003
Residential,122,122512052.0,USA,130000000.0,2013
Residential,124,68642452.0,UK,130000000.0,2005
Residential,106,32131830.0,USA,137000000.0,2001
Residential,124,176636816.0,USA,140000000.0,2011
Residential,128,126930660.0,UK,135000000.0,1999
Residential,138,93926386.0,USA,150000000.0,2003
Residential,115,292298923.0,USA,120000000.0,2012
Residential,100,63992328.0,Australia,135000000.0,2011
Residential,135,134518390.0,USA,150000000.0,2008
Residential,117,52792307.0,UK,140000000.0,2016
Residential,156,183635922.0,USA,135000000.0,2015
Residential,96,83024900.0,USA,135000000.0,2013
Residential,107,123207194.0,USA,135000000.0,2011
Residential,92,83348920.0,USA,132000000.0,2014
Residential,115,227137090.0,USA,110000000.0,2007
Residential,92,215395021.0,USA,130000000.0,2008
Residential,117,180191634.0,USA,130000000.0,2015
Residential,146,424645577.0,USA,130000000.0,2013
Residential,115,292298923.0,USA,120000000.0,2012
Residential,94,177343675.0,USA,135000000.0,2015
Residential,116,234277056.0,USA,132000000.0,2005
Residential,147,138396624.0,USA,130000000.0,2003
Residential,90,149234747.0,USA,130000000.0,2011
Residential,101,118311368.0,USA,110000000.0,2010
Residential,138,101160529.0,USA,125000000.0,2014
Residential,107,77564037.0,USA,135000000.0,2011
Residential,142,249358727.0,UK,130000000.0,2004
Residential,165,49551662.0,Australia,130000000.0,2008
Residential,100,60522097.0,USA,130000000.0,2013
Residential,82,137748063.0,USA,127500000.0,2000
Residential,98,113733726.0,USA,127000000.0,2014
Residential,95,148337537.0,USA,130000000.0,2010
Residential,159,317557891.0,UK,125000000.0,2001
Residential,96,33592415.0,USA,130000000.0,2013
Residential,143,305388685.0,USA,140000000.0,2003
Residential,123,337103873.0,USA,125000000.0,2014
Residential,174,217536138.0,USA,125000000.0,2006
Residential,101,131536019.0,USA,103000000.0,2014
Residential,134,214948780.0,Canada,110000000.0,2003
Residential,132,209805005.0,USA,125000000.0,2011
Residential,129,186830669.0,USA,125000000.0,2011
Residential,106,163192114.0,USA,125000000.0,2010
Residential,113,119412921.0,USA,65000000.0,1990
